RowID,OrderDate,OrderPriority,OrderQuantity,Sales,ShipMode,ShippingCost,CustomerName,CustomerSegment,ProductCategory,ProductContainer,ShipDate
669,2011-08-31,High,11,1210.0515,Regular Air,7.69,Annie Cyprus,Home Office,Technology,Small Box,2011-09-01
670,2011-08-31,High,50,187.83,Regular Air,0.5,Annie Cyprus,Home Office,Office Supplies,Small Box,2011-09-02
671,2011-08-31,High,3,49.59,Express Air,6.47,Annie Cyprus,Home Office,Office Supplies,Small Box,2011-09-02
672,2011-08-31,High,30,4253.009,Regular Air,8.99,Annie Cyprus,Home Office,Technology,Small Box,2011-09-01
734,2011-07-08,Not Specified,7,59.38,Regular Air,2.99,Annie Cyprus,Home Office,Office Supplies,Small Box,2011-07-10
735,2009-01-30,Critical,42,1285.37,Regular Air,1.99,Clay Rozendal,Corporate,Technology,Small Pack,2009-02-01
755,2012-01-08,Low,11,48.91,Regular Air,2.97,Don Jones,Corporate,Office Supplies,Wrap Bag,2012-01-13
769,2010-11-07,Critical,22,129.62,Regular Air,3.04,Beth Thompson,Corporate,Office Supplies,Wrap Bag,2010-11-08
782,2010-04-29,Not Specified,12,118.97,Regular Air,6.22,Frank Price,Corporate,Furniture,Small Box,2010-05-01
786,2011-12-31,Not Specified,8,61.8715,Regular Air,5.03,Michelle Lonsdale,Home Office,Technology,Medium Box,2012-01-03
817,2009-08-12,High,7,384.33,Regular Air,1.49,Ann Chong,Corporate,Office Supplies,Small Box,2009-08-13
818,2009-08-12,High,3,239.03,Regular Air,4.5,Ann Chong,Corporate,Office Supplies,Small Box,2009-08-15
821,2011-11-12,Low,44,3922.42,Regular Air,39.61,Joy Bell,Home Office,Furniture,Medium Box,2011-11-19
822,2011-11-12,Low,25,1733.3625,Regular Air,0.99,Joy Bell,Home Office,Technology,Wrap Bag,2011-11-19
839,2012-01-20,High,19,208.28,Regular Air,5.43,Skye Norling,Home Office,Office Supplies,Small Box,2012-01-20
853,2009-03-20,Medium,6,9620.82,Regular Air,24.49,Barry Weirich,Corporate,Office Supplies,Medium Box,2009-03-22
863,2012-07-21,Low,40,255.48,Regular Air,6.65,Grant Carroll,Corporate,Office Supplies,Small Box,2012-07-28
864,2012-07-21,Low,18,130.32,Express Air,7.86,Grant Carroll,Corporate,Office Supplies,Small Box,2012-07-25
911,2012-06-12,Critical,11,312.36,Express Air,8.99,Adrian Hane,Corporate,Office Supplies,Small Pack,2012-06-15
950,2009-01-15,Low,41,217,Regular Air,4.75,Skye Norling,Home Office,Office Supplies,Small Box,2009-01-20
951,2009-01-15,Low,47,296.13,Regular Air,1.02,Skye Norling,Home Office,Office Supplies,Wrap Bag,2009-01-20
956,2010-06-04,Low,40,436.17,Express Air,7.46,Andrew Gjertsen,Consumer,Office Supplies,Small Box,2010-06-08
963,2010-02-18,Not Specified,18,136.29,Regular Air,7.72,Ralph Knight,Consumer,Office Supplies,Small Box,2010-02-19
964,2011-11-16,Not Specified,32,1311.25,Express Air,1.99,Dorothy Wardle,Corporate,Technology,Small Pack,2011-11-18
965,2011-11-16,Not Specified,5,544.41,Delivery Truck,57.38,Dorothy Wardle,Corporate,Furniture,Jumbo Box,2011-11-18
966,2011-11-16,Not Specified,41,844.09,Regular Air,10.49,Dorothy Wardle,Corporate,Furniture,Small Box,2011-11-18
988,2011-08-07,Low,22,6396.2,Regular Air,24.49,Grant Carroll,Corporate,Furniture,Large Box,2011-08-11
1017,2010-06-08,Medium,50,751.77,Regular Air,1.39,Barry Weirich,Corporate,Office Supplies,Small Box,2010-06-09
1073,2009-10-17,Medium,37,1003.06,Regular Air,5.37,Beth Paige,Consumer,Office Supplies,Medium Box,2009-10-17
1154,2011-08-28,High,4,1266.72,Delivery Truck,64.73,Sylvia Foulston,Corporate,Furniture,Jumbo Drum,2011-08-29
1156,2011-09-29,Critical,19,368.04,Express Air,5.97,Nicole Hansen,Small Business,Office Supplies,Small Box,2011-10-01
1157,2011-09-29,Critical,24,152.6,Regular Air,7.03,Nicole Hansen,Small Business,Office Supplies,Small Box,2011-09-30
1205,2012-05-04,Low,40,3338.98,Regular Air,35,Nicole Hansen,Small Business,Office Supplies,Large Box,2012-05-08
1226,2011-05-17,High,5,24.16,Express Air,1.49,Beth Paige,Consumer,Office Supplies,Small Box,2011-05-18
1227,2011-05-17,High,41,270.84,Express Air,5.86,Beth Paige,Consumer,Office Supplies,Small Box,2011-05-18
1228,2011-05-17,High,35,3389.93,Express Air,21.26,Beth Paige,Consumer,Furniture,Large Box,2011-05-18
1229,2011-05-17,High,42,266.36,Regular Air,8.19,Beth Paige,Consumer,Office Supplies,Small Box,2011-05-18
1230,2011-05-17,High,46,89.41,Regular Air,0.76,Beth Paige,Consumer,Office Supplies,Wrap Bag,2011-05-19
1258,2009-11-17,Medium,47,2799.7,Regular Air,3.99,Sylvia Foulston,Corporate,Office Supplies,Small Box,2009-11-18
1259,2011-10-10,Not Specified,7,2039.56,Express Air,35,Bryan Davis,Corporate,Office Supplies,Large Box,2011-10-12
1299,2012-10-07,Not Specified,36,12175.82,Delivery Truck,58.95,Joy Bell,Home Office,Furniture,Jumbo Drum,2012-10-08
1300,2012-10-07,Not Specified,5,101.21,Express Air,5.21,Joy Bell,Home Office,Office Supplies,Small Box,2012-10-08
1301,2012-10-07,Not Specified,32,1585.64,Regular Air,5.81,Joy Bell,Home Office,Office Supplies,Small Box,2012-10-07
1337,2011-08-13,Medium,44,176.26,Regular Air,0.5,Alan Barnes,Corporate,Office Supplies,Small Box,2011-08-16
1370,2011-08-16,High,32,4655.07,Delivery Truck,53.48,Grant Carroll,Corporate,Furniture,Jumbo Box,2011-08-17
1371,2011-08-16,High,44,10087.6,Regular Air,18.06,Grant Carroll,Corporate,Furniture,Large Box,2011-08-17
1372,2011-08-16,High,34,1608.08,Express Air,6.5,Grant Carroll,Corporate,Technology,Small Box,2011-08-17
1380,2009-03-04,Low,1,12.18,Regular Air,2.27,Delfina Latchford,Small Business,Office Supplies,Wrap Bag,2009-03-04
1445,2009-08-18,Critical,50,820.52,Regular Air,13.18,Don Jones,Corporate,Office Supplies,Small Box,2009-08-20
1457,2010-11-16,Not Specified,29,6250.936,Delivery Truck,62.74,Doug Bickford,Corporate,Furniture,Jumbo Box,2010-11-17
1462,2011-05-27,Low,25,854.88,Regular Air,19.99,Doug Bickford,Corporate,Furniture,Small Box,2011-05-29
1463,2011-05-27,Low,46,80.27,Regular Air,0.7,Doug Bickford,Corporate,Office Supplies,Wrap Bag,2011-06-03
1495,2010-08-23,Not Specified,15,308.54,Express Air,4.1,Jamie Kunitz,Corporate,Office Supplies,Wrap Bag,2010-08-24
1496,2011-08-19,Not Specified,20,400.57,Regular Air,5.77,Anthony Johnson,Small Business,Office Supplies,Small Box,2011-08-21
1513,2012-01-03,Medium,14,1170.025,Regular Air,8.99,Ralph Knight,Consumer,Technology,Small Box,2012-01-05
1544,2012-11-29,High,48,5188.86,Regular Air,8.64,Allen Rosenblatt,Small Business,Office Supplies,Small Box,2012-11-30
1551,2012-03-17,Medium,8,339.81,Regular Air,2.99,Barry Weirich,Corporate,Office Supplies,Small Box,2012-03-18
1589,2010-04-12,Low,15,1519.9,Regular Air,24.49,Doug Bickford,Corporate,Furniture,Large Box,2010-04-19
1590,2010-08-24,High,30,102.24,Regular Air,0.5,Carl Jackson,Home Office,Office Supplies,Small Box,2010-08-26
1594,2011-07-04,High,6,965.69,Delivery Truck,43.75,Brendan Dodson,Corporate,Furniture,Jumbo Box,2011-07-05
1654,2010-11-10,Critical,25,397.84,Regular Air,9.73,Edward Hooks,Consumer,Office Supplies,Small Box,2010-11-12
1655,2010-06-24,Critical,4,73.07,Regular Air,11.25,Jamie Kunitz,Corporate,Office Supplies,Small Box,2010-06-25
1656,2010-06-24,Critical,26,4679.1,Delivery Truck,29.21,Jamie Kunitz,Corporate,Furniture,Jumbo Box,2010-06-25
1675,2012-09-19,Medium,46,8009.5925,Regular Air,8.08,Michelle Lonsdale,Home Office,Technology,Small Box,2012-09-19
1676,2012-09-19,Medium,23,4689.66,Regular Air,11.54,Michelle Lonsdale,Home Office,Furniture,Large Box,2012-09-21
1710,2011-12-24,Low,25,3019.41,Regular Air,7.11,Brendan Dodson,Corporate,Technology,Medium Box,2011-12-28
1718,2012-03-23,Medium,5,36.86,Regular Air,8.49,Hunter Glantz,Corporate,Office Supplies,Small Box,2012-03-24
1727,2011-10-15,Critical,12,22079.47,Regular Air,13.99,Sylvia Foulston,Corporate,Technology,Medium Box,2011-10-17
1745,2010-08-07,Critical,24,5407.31,Delivery Truck,28.16,Eugene Barchas,Home Office,Furniture,Jumbo Drum,2010-08-08
1751,2009-03-03,Low,34,74.3,Regular Air,5.33,Jim Radford,Corporate,Furniture,Small Box,2009-03-10
1770,2010-02-09,Low,44,21506.77,Regular Air,24.49,Carlos Soltero,Small Business,Technology,Large Box,2010-02-09
1771,2010-02-09,Low,28,669.02,Delivery Truck,53.03,Carlos Soltero,Small Business,Office Supplies,Jumbo Drum,2010-02-11
1781,2009-01-17,Critical,40,1143.49,Regular Air,19.99,Carlos Soltero,Small Business,Office Supplies,Small Box,2009-01-17
1782,2009-01-17,Critical,46,78.08,Regular Air,1.57,Carlos Soltero,Small Business,Office Supplies,Wrap Bag,2009-01-19
1806,2010-08-30,Critical,19,5297.47,Delivery Truck,50,Jim Radford,Corporate,Furniture,Jumbo Drum,2010-08-31
1807,2010-08-30,Critical,20,95.3,Regular Air,1.22,Jim Radford,Corporate,Office Supplies,Wrap Bag,2010-08-31
1842,2009-09-11,High,40,460.68,Regular Air,7.46,Grant Carroll,Small Business,Office Supplies,Small Box,2009-09-12
1843,2009-09-11,High,49,318.7585,Regular Air,5.03,Grant Carroll,Small Business,Technology,Medium Box,2009-09-12
1848,2009-07-16,Not Specified,47,1020.61,Regular Air,13.99,Skye Norling,Home Office,Office Supplies,Medium Box,2009-07-17
1855,2012-11-15,Low,44,268.34,Regular Air,8.88,Doug Bickford,Corporate,Office Supplies,Small Box,2012-11-20
1913,2011-09-10,Low,6,209,Regular Air,7.5,Grant Carroll,Small Business,Office Supplies,Small Box,2011-09-14
1928,2011-04-10,Not Specified,30,501.32,Regular Air,13.18,Muhammed MacIntyre,Small Business,Office Supplies,Small Box,2011-04-13
1929,2011-04-10,Not Specified,23,275.16,Express Air,5.01,Muhammed MacIntyre,Small Business,Office Supplies,Small Box,2011-04-13
1930,2011-04-10,Not Specified,37,1302.99,Regular Air,5.09,Muhammed MacIntyre,Small Business,Office Supplies,Small Box,2011-04-11
1978,2011-10-09,High,1,40.1,Regular Air,11.63,Doug Bickford,Small Business,Office Supplies,Small Box,2011-10-11
1979,2011-10-09,High,42,1414.05,Regular Air,14.72,Doug Bickford,Small Business,Office Supplies,Small Box,2011-10-10
2013,2012-10-23,Critical,34,5350.61,Delivery Truck,60.49,Beth Thompson,Corporate,Furniture,Jumbo Box,2012-10-25
2058,2012-01-08,Low,15,310.87,Regular Air,4,Ralph Knight,Consumer,Technology,Small Box,2012-01-08
2070,2010-01-25,Not Specified,48,9062.73,Regular Air,0.99,Carl Jackson,Home Office,Office Supplies,Small Box,2010-01-27
2071,2010-01-25,Not Specified,27,1584.1,Delivery Truck,36.61,Carl Jackson,Home Office,Furniture,Jumbo Box,2010-01-26
2114,2011-01-27,Not Specified,42,283.58,Regular Air,4.95,Dorothy Badders,Home Office,Furniture,Small Pack,2011-01-29
2115,2011-01-27,Not Specified,39,5403.37,Delivery Truck,17.85,Dorothy Badders,Home Office,Technology,Jumbo Drum,2011-01-27
2116,2011-01-27,Not Specified,35,82.15,Regular Air,1.12,Dorothy Badders,Home Office,Office Supplies,Wrap Bag,2011-01-29
2117,2009-08-27,High,50,2066.16,Regular Air,17.48,Delfina Latchford,Small Business,Office Supplies,Small Box,2009-08-29
2129,2011-03-17,Critical,18,4605.36,Delivery Truck,43.32,Julia West,Corporate,Furniture,Jumbo Drum,2011-03-19
2130,2011-03-17,Critical,42,1753.51,Regular Air,9.2,Julia West,Corporate,Furniture,Wrap Bag,2011-03-18
2161,2012-06-06,Critical,31,426.34,Regular Air,5.16,Brad Eason,Small Business,Furniture,Small Box,2012-06-08
2206,2011-04-11,High,36,1837.44,Delivery Truck,54.11,Thomas Seio,Home Office,Furniture,Jumbo Box,2011-04-13
2207,2011-04-11,High,36,3722.29,Express Air,13.99,Thomas Seio,Home Office,Furniture,Medium Box,2011-04-14
2208,2011-04-11,High,4,28.05,Regular Air,2.17,Thomas Seio,Home Office,Office Supplies,Wrap Bag,2011-04-12
2209,2012-11-06,Low,32,311.44,Regular Air,1.99,Monica Federle,Corporate,Technology,Small Pack,2012-11-10
2210,2012-11-06,Low,17,215.65,Express Air,2.85,Monica Federle,Corporate,Furniture,Small Pack,2012-11-15
2221,2012-05-16,High,3,121.12,Regular Air,1.99,Michelle Lonsdale,Home Office,Technology,Small Pack,2012-05-17
2246,2012-04-09,Not Specified,8,300.2,Regular Air,8.22,Frank Price,Corporate,Office Supplies,Small Box,2012-04-11
2247,2012-04-09,Not Specified,29,1364.8025,Regular Air,5,Frank Price,Corporate,Technology,Small Pack,2012-04-11
2281,2012-08-05,Medium,19,128.21,Regular Air,6.57,Bryan Davis,Corporate,Office Supplies,Small Box,2012-08-07
2283,2009-07-22,Not Specified,9,252.79,Regular Air,2.99,Don Jones,Corporate,Office Supplies,Small Box,2009-07-23
2294,2010-05-09,Not Specified,10,50.97,Regular Air,0.73,Carlos Soltero,Small Business,Office Supplies,Wrap Bag,2010-05-11
2295,2010-05-09,Not Specified,1,4.99,Regular Air,1.32,Carlos Soltero,Small Business,Office Supplies,Wrap Bag,2010-05-11
2296,2009-02-18,Not Specified,30,10554.63,Delivery Truck,58.92,Nicole Hansen,Corporate,Furniture,Jumbo Drum,2009-02-20
2297,2009-02-18,Not Specified,8,1749.64,Delivery Truck,69.64,Nicole Hansen,Corporate,Furniture,Jumbo Box,2009-02-18
2316,2012-06-27,High,47,1943.72,Regular Air,34.2,Beth Thompson,Corporate,Furniture,Wrap Bag,2012-06-28
2317,2012-06-27,High,6,18.37,Regular Air,1.2,Beth Thompson,Corporate,Office Supplies,Wrap Bag,2012-06-28
2318,2012-06-27,High,49,6175.777,Express Air,3.9,Beth Thompson,Corporate,Technology,Small Box,2012-06-29
2323,2010-09-30,Medium,6,157.97,Regular Air,16.87,Nicole Hansen,Small Business,Office Supplies,Small Box,2010-10-01
2346,2010-04-15,Critical,25,144.84,Regular Air,8.09,Carlos Soltero,Consumer,Office Supplies,Small Box,2010-04-16
2347,2010-04-15,Critical,20,127.16,Regular Air,1.56,Carlos Soltero,Consumer,Office Supplies,Wrap Bag,2010-04-15
2383,2011-09-14,Not Specified,4,5472.12,Delivery Truck,14.7,Dorothy Badders,Home Office,Technology,Jumbo Drum,2011-09-15
2384,2010-09-21,High,7,1810.67,Delivery Truck,50,Muhammed MacIntyre,Small Business,Furniture,Jumbo Drum,2010-09-22
2402,2010-08-17,Not Specified,31,633.56,Regular Air,6.5,Muhammed MacIntyre,Small Business,Technology,Small Box,2010-08-19
2445,2009-09-16,Low,27,644.4,Regular Air,16.87,Don Miller,Home Office,Office Supplies,Small Box,2009-09-16
2483,2009-06-22,High,7,1211.98,Delivery Truck,26.2,Sylvia Foulston,Corporate,Furniture,Jumbo Drum,2009-06-23
2487,2012-08-28,Not Specified,27,3316.08,Delivery Truck,30,Becky Castell,Consumer,Furniture,Jumbo Drum,2012-08-30
2489,2011-06-07,Critical,48,207.08,Regular Air,5.17,Dorothy Wardle,Corporate,Office Supplies,Small Box,2011-06-09
2490,2011-06-07,Critical,8,234.28,Regular Air,13.99,Dorothy Wardle,Corporate,Office Supplies,Medium Box,2011-06-09
2491,2011-06-07,Critical,41,1779.8915,Regular Air,5,Dorothy Wardle,Corporate,Technology,Small Pack,2011-06-09
2520,2009-10-09,Not Specified,30,114.12,Regular Air,1.49,Ann Chong,Corporate,Office Supplies,Small Box,2009-10-11
2521,2009-10-09,Not Specified,15,436.05,Regular Air,4,Ann Chong,Corporate,Technology,Small Box,2009-10-09
2522,2009-10-09,Not Specified,49,5247.4835,Regular Air,8.08,Ann Chong,Corporate,Technology,Small Box,2009-10-10
2615,2010-12-05,Not Specified,9,173.417,Regular Air,0.99,Clay Rozendal,Corporate,Technology,Wrap Bag,2010-12-07
2624,2009-06-07,Low,18,23792.93,Regular Air,19.99,Grant Carroll,Small Business,Office Supplies,Small Box,2009-06-09
2637,2009-07-27,Critical,21,256.12,Regular Air,4.98,Brendan Dodson,Corporate,Office Supplies,Small Box,2009-07-28
2643,2011-09-05,Low,30,387,Express Air,6.13,Carlos Daly,Home Office,Office Supplies,Small Box,2011-09-10
2726,2009-01-11,High,31,1143.45,Regular Air,1.99,Alan Barnes,Corporate,Technology,Small Pack,2009-01-12
2727,2010-08-15,Medium,2,42.31,Regular Air,8.51,Alan Barnes,Corporate,Technology,Medium Box,2010-08-15
2728,2010-08-15,Medium,11,152.67,Regular Air,4.98,Alan Barnes,Corporate,Office Supplies,Small Box,2010-08-17
2768,2009-08-05,Not Specified,49,82.61,Regular Air,1.57,Nicole Hansen,Small Business,Office Supplies,Wrap Bag,2009-08-06
2782,2011-09-17,Medium,31,789.94,Delivery Truck,14.36,Cari Schnelling,Home Office,Furniture,Jumbo Drum,2011-09-19
2796,2011-10-22,Low,42,435.24,Express Air,1.79,Chad Cunningham,Small Business,Office Supplies,Wrap Bag,2011-10-24
2811,2009-11-14,Medium,8,473.7,Regular Air,10.29,Bryan Mills,Small Business,Office Supplies,Small Box,2009-11-15
2812,2009-11-14,Medium,33,553.5625,Regular Air,1.25,Bryan Mills,Small Business,Technology,Small Pack,2009-11-16
2935,2010-07-03,Medium,32,54.78,Regular Air,1.57,Adrian Hane,Corporate,Office Supplies,Wrap Bag,2010-07-04
2936,2010-07-03,Medium,47,304.83,Regular Air,2.35,Adrian Hane,Corporate,Office Supplies,Wrap Bag,2010-07-05
2956,2009-01-30,Low,31,16066.85,Regular Air,24.49,Rick Reed,Consumer,Technology,Large Box,2009-02-04
2999,2012-03-15,Not Specified,17,618.9,Regular Air,13.89,Heather Kirkland,Home Office,Office Supplies,Wrap Bag,2012-03-17
3006,2009-08-10,Low,35,1665.0395,Regular Air,3.3,Fred Wasserman,Home Office,Technology,Small Pack,2009-08-10
3052,2010-04-01,Low,21,1049.79,Regular Air,19.99,Becky Castell,Consumer,Furniture,Small Box,2010-04-08
3053,2010-04-01,Low,16,817.18,Regular Air,5.08,Becky Castell,Consumer,Office Supplies,Small Box,2010-04-03
3089,2010-07-31,High,49,465.83,Regular Air,6.22,Beth Thompson,Corporate,Furniture,Small Box,2010-07-31
3110,2009-05-29,Low,13,241.706,Regular Air,3.3,Claudia Miner,Small Business,Technology,Small Pack,2009-06-05
3135,2010-10-11,High,44,275.91,Regular Air,5.03,Jack Lebron,Corporate,Technology,Medium Box,2010-10-13
3138,2010-05-18,High,2,30.83,Express Air,1.39,Alan Barnes,Corporate,Office Supplies,Small Box,2010-05-19
3140,2011-02-08,Critical,13,121.66,Regular Air,5.6,Carlos Soltero,Consumer,Office Supplies,Small Box,2011-02-08
3244,2010-12-07,Critical,16,108.42,Regular Air,6.81,Clay Rozendal,Corporate,Office Supplies,Small Box,2010-12-09
3245,2010-12-07,Critical,27,78.47,Regular Air,0.99,Clay Rozendal,Corporate,Office Supplies,Small Box,2010-12-09
3284,2009-01-06,Critical,30,26133.39,Delivery Truck,44.55,Julia West,Home Office,Furniture,Jumbo Box,2009-01-07
3300,2012-03-12,Critical,14,2671.21,Delivery Truck,15.59,Alan Barnes,Corporate,Technology,Jumbo Drum,2012-03-14
3355,2010-08-26,Low,26,531.66,Regular Air,1.99,Joy Bell,Home Office,Technology,Small Pack,2010-09-02
3356,2010-08-26,Low,28,317.85,Regular Air,6.97,Joy Bell,Home Office,Office Supplies,Small Box,2010-09-02
3357,2010-08-26,Low,42,163.08,Regular Air,0.5,Joy Bell,Home Office,Office Supplies,Small Box,2010-08-30
3359,2011-06-20,High,38,103.07,Regular Air,1.34,Jack Lebron,Corporate,Office Supplies,Wrap Bag,2011-06-22
3371,2010-08-04,High,1,17.19,Regular Air,1.99,Anthony Johnson,Small Business,Technology,Small Pack,2010-08-04
3372,2010-08-04,High,27,2689.48,Regular Air,19.99,Anthony Johnson,Small Business,Technology,Small Box,2010-08-06
3373,2010-08-04,High,2,15.31,Regular Air,4.86,Anthony Johnson,Small Business,Office Supplies,Small Box,2010-08-06
3380,2010-11-23,High,13,270.63,Regular Air,8.32,Eugene Barchas,Corporate,Office Supplies,Wrap Bag,2010-11-25
3381,2010-11-23,High,43,6583.913,Regular Air,3.99,Eugene Barchas,Corporate,Technology,Small Box,2010-11-25
3406,2009-08-02,Not Specified,24,4865.72,Delivery Truck,15.59,Thomas Seio,Home Office,Technology,Jumbo Drum,2009-08-03
3418,2011-08-10,Critical,23,1003.31,Regular Air,14.45,Bryan Mills,Small Business,Furniture,Large Box,2011-08-11
3419,2011-08-10,Critical,17,6048.18,Delivery Truck,60,Bryan Mills,Small Business,Furniture,Jumbo Drum,2011-08-10
3434,2010-05-06,Critical,41,3051.27,Delivery Truck,33.6,Eugene Barchas,Home Office,Technology,Jumbo Drum,2010-05-08
3478,2012-06-28,Low,47,9633.59,Delivery Truck,64.2,Sylvia Foulston,Corporate,Furniture,Jumbo Drum,2012-07-05
3479,2012-06-28,Low,26,3758.77,Regular Air,24.49,Sylvia Foulston,Corporate,Furniture,Large Box,2012-07-03
3493,2011-03-23,Medium,6,143.78,Regular Air,8.99,Carl Ludwig,Corporate,Furniture,Small Pack,2011-03-24
3552,2011-11-19,Critical,22,440.92,Express Air,10.49,Julia West,Small Business,Furniture,Small Box,2011-11-21
3560,2012-11-26,Low,3,4343.51,Delivery Truck,29.7,Don Jones,Corporate,Technology,Jumbo Drum,2012-12-03
3591,2010-07-29,Not Specified,29,593.32,Regular Air,4,Mike Pelletier,Corporate,Technology,Small Box,2010-08-01
3592,2010-07-29,Not Specified,26,626.07,Express Air,6.71,Mike Pelletier,Corporate,Office Supplies,Small Box,2010-07-30
