id,OrderDate,OrderPriority,OrderQuantity,Sales,ShipMode,ShippingCost,CustomerName,CustomerSegment,ProductCategory,ProductContainer,ShipDate
3300,3/12/2012,Critical,14,2671.21,Delivery Truck,15.59,Alan Barnes,Corporate,Technology,Jumbo Drum,3/14/2012
3355,8/26/2010,Low,26,531.66,Regular Air,1.99,Joy Bell,Home Office,Technology,Small Pack,9/2/2010
3356,8/26/2010,Low,28,317.85,Regular Air,6.97,Joy Bell,Home Office,Office Supplies,Small Box,9/2/2010
3357,8/26/2010,Low,42,163.08,Regular Air,0.5,Joy Bell,Home Office,Office Supplies,Small Box,8/30/2010
3359,6/20/2011,High,38,103.07,Regular Air,1.34,Jack Lebron,Corporate,Office Supplies,Wrap Bag,6/22/2011
3371,8/4/2010,High,1,17.19,Regular Air,1.99,Anthony Johnson,Small Business,Technology,Small Pack,8/4/2010
3372,8/4/2010,High,27,2689.48,Regular Air,19.99,Anthony Johnson,Small Business,Technology,Small Box,8/6/2010
3373,8/4/2010,High,2,15.31,Regular Air,4.86,Anthony Johnson,Small Business,Office Supplies,Small Box,8/6/2010
3380,11/23/2010,High,13,270.63,Regular Air,8.32,Eugene Barchas,Corporate,Office Supplies,Wrap Bag,11/25/2010
3381,11/23/2010,High,43,6583.913,Regular Air,3.99,Eugene Barchas,Corporate,Technology,Small Box,11/25/2010
3406,8/2/2009,Not Specified,24,4865.72,Delivery Truck,15.59,Thomas Seio,Home Office,Technology,Jumbo Drum,8/3/2009
3418,8/10/2011,Critical,23,1003.31,Regular Air,14.45,Bryan Mills,Small Business,Furniture,Large Box,8/11/2011
3419,8/10/2011,Critical,17,6048.18,Delivery Truck,60,Bryan Mills,Small Business,Furniture,Jumbo Drum,8/10/2011
3434,5/6/2010,Critical,41,3051.27,Delivery Truck,33.6,Eugene Barchas,Home Office,Technology,Jumbo Drum,5/8/2010
3478,6/28/2012,Low,47,9633.59,Delivery Truck,64.2,Sylvia Foulston,Corporate,Furniture,Jumbo Drum,7/5/2012
3479,6/28/2012,Low,26,3758.77,Regular Air,24.49,Sylvia Foulston,Corporate,Furniture,Large Box,7/3/2012
3493,3/23/2011,Medium,6,143.78,Regular Air,8.99,Carl Ludwig,Corporate,Furniture,Small Pack,3/24/2011
3552,11/19/2011,Critical,22,440.92,Express Air,10.49,Julia West,Small Business,Furniture,Small Box,11/21/2011
3560,11/26/2012,Low,3,4343.51,Delivery Truck,29.7,Don Jones,Corporate,Technology,Jumbo Drum,12/3/2012
3591,7/29/2010,Not Specified,29,593.32,Regular Air,4,Mike Pelletier,Corporate,Technology,Small Box,8/1/2010
3592,7/29/2010,Not Specified,26,626.07,Express Air,6.71,Mike Pelletier,Corporate,Office Supplies,Small Box,7/30/2010
